param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.0024376858494606665,0.010480287577570307,0.0004995004995004995,0.00804260172810964,-0.001938185349960167,0.00804260172810964
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0024376858494606665,0.0004995004995004995,0.007972033434094533,-0.001938185349960167,0.005534347584633866,0.005534347584633866
contact_rate,10.0,8.0,12.0,0.0024376858494606665,0.0004995004995004995,0.007972033434094526,-0.001938185349960167,0.005534347584633859,0.005534347584633859
phi_recover,1.0,0.8,1.2,0.0024376858494606665,0.0013709488265163574,0.007754815202347229,-0.001066737022944309,0.005317129352886562,0.005317129352886562
drug_contact_multiplier,1.2,0.96,1.44,0.0024376858494606665,0.0012097554250201643,0.004933375599926013,-0.0012279304244405022,0.0024956897504653463,0.0024956897504653463
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.0024376858494606665,0.004815084914051895,0.0016790545678330476,0.0023773990645912283,-0.0007586312816276189,0.0023773990645912283
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.0024376858494606665,0.0016889034570663239,0.003179256115486361,-0.0007487823923943426,0.0007415702660256945,0.0007487823923943426
drug_contact_restore,0.8,0.6400000000000001,0.96,0.0024376858494606665,0.0026358250083856,0.002269316052283426,0.0001981391589249335,-0.0001683697971772407,0.0001981391589249335
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.0024376858494606665,0.002250615735324333,0.002580246094434002,-0.00018707011413633332,0.00014256024497333536,0.00018707011413633332
kappa_base,1.0,0.8,1.2,0.0024376858494606665,0.0025459058075813236,0.002331238397492271,0.00010821995812065714,-0.0001064474519683954,0.00010821995812065714
theta,0.3,0.24,0.36,0.0024376858494606665,0.002545905807581312,0.002331238397492274,0.00010821995812064543,-0.00010644745196839236,0.00010821995812064543
delta,0.008333333333333333,0.006666666666666667,0.01,0.0024376858494606665,0.002402299594488932,0.002472649327105895,-3.538625497173436e-05,3.4963477645228325e-05,3.538625497173436e-05
kappa_scale,1.0,0.8,1.2,0.0024376858494606665,0.002409783529953626,0.002466565773103409,-2.7902319507040405e-05,2.887992364274247e-05,2.887992364274247e-05
birth_rate,0.0,0.0,0.0,0.0024376858494606665,0.0024376858494606665,0.0024376858494606665,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.0024376858494606665,0.0024376858494606665,0.0024376858494606665,0.0,0.0,0.0
